name,state_code,latitude,longitude,elevation
Anderleigh,QLD,-25.99842,152.67358,109
Anderson,VIC,-38.52174,145.4493,63
Ando,NSW,-36.73993,149.26121,884
Andover,TAS,-42.33,147.46064,407
Andrews,SA,-33.599,138.63124,320
Andrews Farm,SA,-34.67146,138.66678,33
Andromache,QLD,-20.58452,148.42,66
Anduramba,QLD,-27.13461,152.08588,443
Anembo,NSW,-35.80545,149.42833,1076
Angas Plains,SA,-35.3349,138.96945,21
Angaston,SA,-34.50115,139.04683,354
Angas Valley,SA,-34.75513,139.30616,79
Angelo River,WA,-24.0786,118.01042,356
Angledale,NSW,-36.63575,149.85715,51
Angledool,NSW,-29.11312,147.90256,151
Angle Park,SA,-34.85913,138.56067,11
Anglers Reach,NSW,-35.9992,148.66485,1189
Anglers Rest,VIC,-37.01433,147.45141,845
Anglesea,VIC,-38.40513,144.18927,10
Angle Vale,SA,-34.64077,138.6466,37
Angourie,NSW,-29.48101,153.35996,35
Angurugu,NT,-13.98119,136.46121,16
Anindilyakwa,NT,-13.97005,136.59334,122
Anketell,WA,-32.2187,115.86538,22
Anmatjere,NT,-22.00828,133.46465,529
Anna Bay,NSW,-32.77692,152.08327,7
Annadale,SA,-34.38932,139.38842,73
Annandale,NSW,-33.88144,151.17068,32
Annandale,QLD,-19.31109,146.78764,10
Annangrove,NSW,-33.65777,150.94351,82
Annerley,QLD,-27.51161,153.03183,45
Anniebrook,WA,-33.66919,115.16909,15
Annuello,VIC,-34.8477,142.83012,61
Ansons Bay,TAS,-41.03789,148.26834,12
Anstead,QLD,-27.54559,152.87227,20
Antechamber Bay,SA,-35.80174,138.07272,10
Anthony,QLD,-27.87818,152.68408,97
Antigua,QLD,-25.63821,152.60253,40
Antill Ponds,TAS,-42.20401,147.40135,293
Antonymyre,WA,-20.66316,117.09337,8
Antwerp,VIC,-36.29842,142.02456,100
Anula,NT,-12.39191,130.89015,37
Apamurra,SA,-34.85524,139.19677,159
Apoinga,SA,-33.92808,138.93758,468
Apollo Bay,TAS,-43.15912,147.29609,29
Apollo Bay,VIC,-38.74843,143.67043,1
Appila,SA,-33.05054,138.42808,371
Appin,NSW,-34.20089,150.78748,242
Appin,VIC,-35.88565,143.87805,82
Appin South,VIC,-35.94096,143.85991,86
Appleby,NSW,-30.96493,150.82515,365
Applecross,WA,-32.0194,115.83322,10
Applethorpe,QLD,-28.61395,151.95549,880
Apple Tree Creek,QLD,-25.21521,152.234,80
Appletree Flat,NSW,-32.51231,150.86485,111
Apple Tree Flat,NSW,-32.68522,149.70505,490
Apslawn,TAS,-41.95662,148.16487,43
Apsley,NSW,-32.59836,148.96393,337
Apsley,TAS,-42.41812,147.13831,297
Apsley,VIC,-36.96756,141.08075,108
Arable,NSW,-36.36737,148.94553,910
Arakoon,NSW,-30.88823,153.06696,12
Araluen,NSW,-35.64693,149.81215,155
Araluen,NT,-23.70239,133.84954,585
Araluen,QLD,-26.15949,152.66767,104
Aramac,QLD,-22.97216,145.24543,229
Aramara,QLD,-25.61128,152.32592,129
Arana Hills,QLD,-27.39752,152.95954,46
Aranbanga,QLD,-25.80681,151.67007,314
Aranda,ACT,-35.25796,149.07565,632
Ararat,VIC,-37.2843,142.92823,336
Aratula,NSW,-35.7862,145.29243,108
Aratula,QLD,-27.98146,152.54862,112
Arawata,VIC,-38.39491,145.88822,280
Arbouin,QLD,-17.06157,143.99539,242
Arbuckle,VIC,-37.36904,146.82917,1306
Arcadia,NSW,-33.6231,151.05273,216
Arcadia,QLD,-19.15104,146.86423,10
Arcadia,VIC,-36.5416,145.36256,124
Arcadia South,VIC,-36.59378,145.38112,129
Arcadia Vale,NSW,-33.06034,151.57582,34
Arcadia Valley,QLD,-25.02985,148.81407,537
Archdale,VIC,-36.8309,143.5023,204
Archdale Junction,VIC,-36.88492,143.51731,204
Archer,NT,-12.51182,130.97059,13
Archerfield,QLD,-27.56839,153.02417,15
Archer River,QLD,-13.34792,142.52661,82
Archerton,VIC,-36.89447,146.25651,945
Archies Creek,VIC,-38.54829,145.56373,25
Arcoona,SA,-31.20422,137.19217,94
Arcturus,QLD,-23.98933,148.33948,197
Ardath,WA,-32.03476,118.10277,280
Ardeer,VIC,-37.77596,144.80104,46
Ardglen,NSW,-31.73451,150.78559,627
Arding,NSW,-30.58855,151.55675,1053
Ardlethan,NSW,-34.35736,146.9034,203
Ardmona,VIC,-36.37854,145.29537,110
Ardross,WA,-32.02488,115.84141,19
Ardrossan,SA,-34.42295,137.91681,33
Areegra,VIC,-36.23825,142.68032,112
Areyonga,NT,-24.07205,132.26771,675
Argalong,NSW,-35.3155,148.45387,770
Argenton,NSW,-32.93481,151.63088,8
Argents Hill,NSW,-30.62195,152.74633,92
Argoon,NSW,-34.85828,145.67415,113
Argoon,QLD,-24.25515,150.43348,164
Argyle,VIC,-36.96763,144.71685,307
Argyle,WA,-33.54822,115.76634,61
Argyll,QLD,-23.27732,147.5625,351
Ariah Park,NSW,-34.34811,147.22122,253
Arkaroola Village,SA,-30.1337,139.64033,64
Arkell,NSW,-33.72778,149.38295,944
Arkstone,NSW,-34.04242,149.64425,957
Armadale,VIC,-37.85532,145.01914,48
Armadale,WA,-32.15239,116.00827,55
Armagh,SA,-33.83679,138.57943,401
Armatree,NSW,-31.44798,148.46345,240
Armidale,NSW,-30.51417,151.66899,979
Armstrong,VIC,-37.21003,142.88499,306
Armstrong Beach,QLD,-21.45491,149.28956,10
Armstrong Creek,QLD,-27.22574,152.82965,73
Armstrong Creek,VIC,-38.23465,144.3694,12
Arncliffe,NSW,-33.93632,151.14469,26
Arndell Park,NSW,-33.78727,150.87196,45
Arno Bay,SA,-33.9119,136.56835,2
Arnold,NT,-15.80974,134.14711,145
Arnold,VIC,-36.69082,143.86837,163
Arnold West,VIC,-36.66177,143.76205,199
Aroona,QLD,-26.77538,153.11317,16
Arrawarra,NSW,-30.0596,153.18789,15
Arrawarra Headland,NSW,-30.05977,153.20274,13
Arriga,QLD,-17.10991,145.30199,501
Arrino,WA,-29.44006,115.62837,267
Arrowsmith,WA,-29.54356,115.06993,32
